[2026-05-09 21:34:24] waiting for master pipeline to finish (Phase 3a → 3b → 3c → 4)...
[2026-05-09 21:35:24] waiting... rollouts=333; kramar layer dirs=2
[2026-05-09 21:36:24] waiting... rollouts=336; kramar layer dirs=2
[2026-05-09 21:37:24] waiting... rollouts=338; kramar layer dirs=2
[2026-05-09 21:38:24] waiting... rollouts=340; kramar layer dirs=2
[2026-05-09 21:39:24] waiting... rollouts=342; kramar layer dirs=2
[2026-05-09 21:40:24] waiting... rollouts=344; kramar layer dirs=2
[2026-05-09 21:41:24] waiting... rollouts=345; kramar layer dirs=2
[2026-05-09 21:42:24] waiting... rollouts=347; kramar layer dirs=2
[2026-05-09 21:43:25] waiting... rollouts=348; kramar layer dirs=2
[2026-05-09 21:44:25] waiting... rollouts=348; kramar layer dirs=2
[2026-05-09 21:45:25] waiting... rollouts=349; kramar layer dirs=2
[2026-05-09 21:46:25] waiting... rollouts=350; kramar layer dirs=2
[2026-05-09 21:47:25] waiting... rollouts=350; kramar layer dirs=2
[2026-05-09 21:48:25] waiting... rollouts=351; kramar layer dirs=2
[2026-05-09 21:49:25] waiting... rollouts=351; kramar layer dirs=2
[2026-05-09 21:50:25] waiting... rollouts=352; kramar layer dirs=2
[2026-05-09 21:51:25] waiting... rollouts=352; kramar layer dirs=2
[2026-05-09 21:52:25] waiting... rollouts=353; kramar layer dirs=2
[2026-05-09 21:53:25] waiting... rollouts=353; kramar layer dirs=2
[2026-05-09 21:54:26] waiting... rollouts=354; kramar layer dirs=2
[2026-05-09 21:55:26] waiting... rollouts=355; kramar layer dirs=2
[2026-05-09 21:56:26] waiting... rollouts=355; kramar layer dirs=2
[2026-05-09 21:57:26] waiting... rollouts=356; kramar layer dirs=2
[2026-05-09 21:58:26] waiting... rollouts=356; kramar layer dirs=2
[2026-05-09 21:59:26] waiting... rollouts=357; kramar layer dirs=2
[2026-05-09 22:00:26] waiting... rollouts=357; kramar layer dirs=2
[2026-05-09 22:01:26] waiting... rollouts=360; kramar layer dirs=2
[2026-05-09 22:02:26] waiting... rollouts=363; kramar layer dirs=2
[2026-05-09 22:03:26] waiting... rollouts=363; kramar layer dirs=2
[2026-05-09 22:04:26] waiting... rollouts=364; kramar layer dirs=2
[2026-05-09 22:05:27] waiting... rollouts=364; kramar layer dirs=2
[2026-05-09 22:06:27] waiting... rollouts=365; kramar layer dirs=2
[2026-05-09 22:07:27] waiting... rollouts=365; kramar layer dirs=2
[2026-05-09 22:08:27] waiting... rollouts=366; kramar layer dirs=2
[2026-05-09 22:09:27] waiting... rollouts=367; kramar layer dirs=2
[2026-05-09 22:10:27] waiting... rollouts=367; kramar layer dirs=2
[2026-05-09 22:11:27] waiting... rollouts=368; kramar layer dirs=2
[2026-05-09 22:12:27] waiting... rollouts=368; kramar layer dirs=2
[2026-05-09 22:13:27] waiting... rollouts=369; kramar layer dirs=2
[2026-05-09 22:14:27] waiting... rollouts=370; kramar layer dirs=2
[2026-05-09 22:15:28] waiting... rollouts=370; kramar layer dirs=2
[2026-05-09 22:16:28] waiting... rollouts=371; kramar layer dirs=2
[2026-05-09 22:17:28] waiting... rollouts=372; kramar layer dirs=2
[2026-05-09 22:18:28] waiting... rollouts=372; kramar layer dirs=2
[2026-05-09 22:19:28] waiting... rollouts=373; kramar layer dirs=2
[2026-05-09 22:20:28] waiting... rollouts=373; kramar layer dirs=2
[2026-05-09 22:21:28] waiting... rollouts=374; kramar layer dirs=2
[2026-05-09 22:22:28] waiting... rollouts=375; kramar layer dirs=2
[2026-05-09 22:23:28] waiting... rollouts=375; kramar layer dirs=2
[2026-05-09 22:24:29] waiting... rollouts=376; kramar layer dirs=2
[2026-05-09 22:25:29] waiting... rollouts=377; kramar layer dirs=2
[2026-05-09 22:26:29] waiting... rollouts=377; kramar layer dirs=2
[2026-05-09 22:27:29] waiting... rollouts=378; kramar layer dirs=2
[2026-05-09 22:28:29] waiting... rollouts=379; kramar layer dirs=2
[2026-05-09 22:29:29] waiting... rollouts=379; kramar layer dirs=2
[2026-05-09 22:30:29] waiting... rollouts=380; kramar layer dirs=2
[2026-05-09 22:31:30] waiting... rollouts=380; kramar layer dirs=2
[2026-05-09 22:32:30] waiting... rollouts=381; kramar layer dirs=2
[2026-05-09 22:33:30] waiting... rollouts=382; kramar layer dirs=2
[2026-05-09 22:34:30] waiting... rollouts=382; kramar layer dirs=2
[2026-05-09 22:35:30] waiting... rollouts=383; kramar layer dirs=2
[2026-05-09 22:36:30] waiting... rollouts=384; kramar layer dirs=2
