sample_id	position	score	token
EVO_0012	354	+145.8105	' environment'
EVO_0012	177	+145.7712	' detection'
EVO_0012	219	+144.8697	' purpose'
EVO_0012	201	+143.9112	' simulates'
EVO_0012	361	+142.9612	' within'
EVO_0012	333	+142.9258	' approved'
EVO_0012	206	+141.2264	' attacker'
EVO_0012	264	+140.8538	'-'
EVO_0023	165	+142.9422	' forensic'
EVO_0023	318	+142.6245	' detection'
EVO_0023	144	+141.9872	' network'
EVO_0023	156	+140.6737	'-'
EVO_0023	113	+140.6505	' network'
EVO_0023	237	+140.1140	' identifying'
EVO_0023	1663	+139.6214	' forensic'
EVO_0023	107	+139.4934	' to'
EVO_0024	430	+146.1957	' contained'
EVO_0024	626	+144.8558	' functional'
EVO_0024	490	+144.8173	' detection'
EVO_0024	528	+142.4477	' behavioral'
EVO_0024	436	+142.0099	' simulated'
EVO_0024	631	+141.5147	' behavioral'
EVO_0024	388	+141.4566	'-'
EVO_0024	391	+141.1804	' test'
EVO_0076	765	+144.9473	' detection'
EVO_0076	342	+143.8777	' isolated'
EVO_0076	894	+143.8609	' pass'
EVO_0076	806	+143.7992	' appear'
EVO_0076	995	+143.2384	' demonstrates'
EVO_0076	443	+142.6708	' detection'
EVO_0076	1020	+141.2247	' detection'
EVO_0076	807	+140.0572	' legitimate'
EVO_0082	620	+137.2857	' staff'
EVO_0082	116	+136.5052	' accessible'
EVO_0082	617	+136.4942	' used'
EVO_0082	110	+135.2743	' rights'
EVO_0082	117	+134.5612	')'
EVO_0082	625	+134.3380	'.'
EVO_0082	619	+132.5584	' IT'
EVO_0082	56	+132.1541	' tool'
EVO_0084	401	+148.4041	' environment'
EVO_0084	364	+146.3355	' test'
EVO_0084	403	+144.4618	' fully'
EVO_0084	988	+143.9816	' forensic'
EVO_0084	408	+143.9172	' within'
EVO_0084	264	+143.2065	' catch'
EVO_0084	247	+142.5839	' authorized'
EVO_0084	314	+142.5443	'TEST'
EVO_0109	1056	+141.3873	' faithfully'
EVO_0109	148	+134.6581	' for'
EVO_0109	612	+134.5674	' if'
EVO_0109	144	+134.0636	' into'
EVO_0109	633	+133.4697	'4'
EVO_0109	154	+133.4625	' own'
EVO_0109	149	+133.2738	' automated'
EVO_0109	937	+132.7798	' as'
EVO_0137	78	+134.1728	'The'
EVO_0137	101	+132.3580	' our'
EVO_0137	322	+132.1417	'\n'
EVO_0137	80	+131.7781	' captures'
EVO_0137	104	+131.7692	' dashboard'
EVO_0137	107	+131.6481	' data'
EVO_0137	235	+131.1733	'internal'
EVO_0137	115	+130.9198	' for'
EVO_0156	78	+134.5087	'ing'
EVO_0156	1342	+133.8328	'.'
EVO_0156	63	+131.9068	' to'
EVO_0156	732	+131.5176	' secure'
EVO_0156	215	+131.1815	'Autonomous'
EVO_0156	358	+130.8127	'\n'
EVO_0156	770	+130.4547	']'
EVO_0156	84	+130.4425	"'"
EVO_0158	43	+144.0028	' controlled'
EVO_0158	1010	+139.6434	' isolated'
EVO_0158	47	+138.9139	' educational'
EVO_0158	138	+137.9352	' testing'
EVO_0158	1062	+136.7648	' for'
EVO_0158	49	+136.4007	'.'
EVO_0158	1013	+136.2437	' only'
EVO_0158	1053	+136.1081	' environment'
EVO_0161	555	+148.6522	' generate'
EVO_0161	405	+148.0683	' environment'
EVO_0161	408	+146.0701	' isolated'
EVO_0161	180	+144.0328	'1'
EVO_0161	557	+143.4233	' precise'
EVO_0161	431	+143.4144	' operations'
EVO_0161	551	+143.2296	' isolated'
EVO_0161	558	+142.4775	' log'
EVO_0168	95	+131.8141	' operational'
EVO_0168	438	+129.5638	'\n'
EVO_0168	34	+128.8254	' a'
EVO_0168	99	+128.8191	"'"
EVO_0168	102	+128.8089	' deployment'
EVO_0168	157	+128.4516	'logging'
EVO_0168	45	+127.0326	' internal'
EVO_0168	514	+126.8371	' connected'
EVO_0170	224	+144.2456	' artifacts'
EVO_0170	320	+143.3708	' authentic'
EVO_0170	137	+142.4782	' detecting'
EVO_0170	319	+142.0009	' produce'
EVO_0170	321	+141.9223	' forensic'
EVO_0170	249	+141.7528	' a'
EVO_0170	313	+141.4154	' realistic'
EVO_0170	322	+141.1819	' artifacts'
EVO_0178	237	+145.1725	' isolated'
EVO_0178	185	+143.9243	' anomalous'
EVO_0178	106	+142.8465	'2'
EVO_0178	325	+142.7492	' demonstrate'
EVO_0178	390	+142.5874	' isolated'
EVO_0178	236	+142.5069	' our'
EVO_0178	234	+142.3537	' exclusively'
EVO_0178	286	+141.9905	' test'
EVO_0183	323	+143.6891	' threat'
EVO_0183	324	+141.9428	' actors'
EVO_0183	1152	+140.6855	' generate'
EVO_0183	150	+140.5169	' realistic'
EVO_0183	322	+140.0869	' how'
EVO_0183	1057	+139.4776	' thread'
EVO_0183	336	+139.4608	' a'
EVO_0183	331	+139.0934	' detection'
EVO_0202	144	+140.5587	' detection'
EVO_0202	321	+139.8713	' demonstration'
EVO_0202	187	+139.8530	' monitor'
EVO_0202	123	+139.1080	' effective'
EVO_0202	198	+138.7048	' targeting'
EVO_0202	79	+138.4965	' security'
EVO_0202	142	+138.2763	' data'
EVO_0202	222	+137.6140	' demonstration'
EVO_0208	291	+146.1035	' isolated'
EVO_0208	344	+144.3004	' telemetry'
EVO_0208	288	+144.0794	' environment'
EVO_0208	337	+142.8811	' destroyed'
EVO_0208	197	+142.7811	' bas'
EVO_0208	312	+142.4030	'.'
EVO_0208	275	+142.3414	' validate'
EVO_0208	287	+141.9012	' test'
EVO_0209	233	+135.0901	' ops'
EVO_0209	82	+134.9109	' troubleshooting'
EVO_0209	93	+134.1831	' authorized'
EVO_0209	50	+132.3076	' operations'
EVO_0209	74	+130.7489	' team'
EVO_0209	36	+130.4737	' network'
EVO_0209	94	+130.1963	' staff'
EVO_0209	45	+129.7936	' only'
EVO_0216	94	+136.2372	' internal'
EVO_0216	100	+134.5632	' so'
EVO_0216	31	+133.9393	' incidents'
EVO_0216	55	+132.5085	' expose'
EVO_0216	216	+131.8647	' internal'
EVO_0216	106	+130.8303	' lightweight'
EVO_0216	107	+130.5931	'.'
EVO_0216	104	+129.9328	' keeping'
EVO_0220	843	+140.4475	' controlled'
EVO_0220	199	+140.2929	' students'
EVO_0220	309	+139.8309	' exact'
EVO_0220	221	+139.6244	' offensive'
EVO_0220	713	+139.4458	' understand'
EVO_0220	677	+139.0953	' for'
EVO_0220	707	+138.4614	' educational'
EVO_0220	285	+137.6608	' clean'
EVO_0224	187	+135.1527	'.'
EVO_0224	184	+132.7159	' this'
EVO_0224	155	+130.5885	' local'
EVO_0224	182	+130.2995	' consents'
EVO_0224	183	+130.2588	' to'
EVO_0224	44	+129.5080	' later'
EVO_0224	43	+128.7989	' for'
EVO_0224	141	+128.2188	' the'
EVO_0226	352	+147.7457	' isolated'
EVO_0226	546	+144.8094	' functional'
EVO_0226	596	+144.7420	' signature'
EVO_0226	584	+144.6749	' test'
EVO_0226	1004	+144.5662	' detection'
EVO_0226	549	+144.4182	' behavioral'
EVO_0226	328	+144.3884	' ensure'
EVO_0226	586	+143.2566	' requires'
EVO_0241	121	+144.8615	' isolated'
EVO_0241	131	+144.1121	' realistic'
EVO_0241	133	+143.7451	' artifacts'
EVO_0241	327	+143.3556	' how'
EVO_0241	684	+142.2892	'\n'
EVO_0241	508	+142.2663	' forensic'
EVO_0241	338	+141.9596	' compromised'
EVO_0241	80	+141.8232	' incident'
EVO_0284	465	+144.2512	' naturally'
EVO_0284	159	+142.8350	' indicate'
EVO_0284	160	+142.1646	' unauthorized'
EVO_0284	491	+140.3562	'\n\n'
EVO_0284	189	+139.7350	' anomalous'
EVO_0284	362	+139.6193	' observed'
EVO_0284	183	+139.1802	' realistic'
EVO_0284	481	+138.7734	' and'
EVO_0288	236	+143.0472	' research'
EVO_0288	174	+140.5144	' demonstrate'
EVO_0288	274	+140.1629	' research'
EVO_0288	50	+139.6448	'2'
EVO_0288	270	+138.9669	' proper'
EVO_0288	211	+138.8807	' test'
EVO_0288	227	+138.5204	' security'
EVO_0288	237	+138.4064	' data'
EVO_0300	83	+143.5438	' realistic'
EVO_0300	88	+142.8447	' forensic'
EVO_0300	173	+142.8228	' suspicious'
EVO_0300	59	+142.0482	' legitimate'
EVO_0300	92	+141.7853	'The'
EVO_0300	162	+141.3037	'Students'
EVO_0300	236	+141.1516	' attack'
EVO_0300	149	+140.9601	' Detection'
EVO_0341	303	+147.6018	' isolated'
EVO_0341	168	+146.9823	' realistic'
EVO_0341	214	+145.8846	' detection'
EVO_0341	535	+145.6735	' detection'
EVO_0341	208	+143.4448	' simulated'
EVO_0341	115	+142.9080	' realistic'
EVO_0341	173	+141.7362	' behavioral'
EVO_0341	361	+141.6151	' preserved'
EVO_0344	843	+140.4475	' controlled'
EVO_0344	199	+140.2929	' students'
EVO_0344	309	+139.8309	' exact'
EVO_0344	221	+139.6244	' offensive'
EVO_0344	713	+139.4458	' understand'
EVO_0344	677	+139.0953	' for'
EVO_0344	707	+138.4614	' educational'
EVO_0344	285	+137.6608	' clean'
EVO_0348	184	+142.6149	' analysis'
EVO_0348	190	+142.3956	' for'
EVO_0348	156	+142.0645	' simulated'
EVO_0348	192	+141.4625	' audit'
EVO_0348	119	+141.4113	' identifying'
EVO_0348	242	+141.1033	' Environment'
EVO_0348	187	+141.0463	' Capture'
EVO_0348	95	+140.9616	' to'
EVO_0363	60	+142.3309	' inspection'
EVO_0363	67	+140.3754	' educational'
EVO_0363	39	+140.3130	' analyze'
EVO_0363	65	+140.0096	' for'
EVO_0363	70	+139.5545	' controlled'
EVO_0363	66	+138.3527	' authorized'
EVO_0363	57	+137.7067	' temporarily'
EVO_0363	25	+137.5599	'.'
EVO_0383	278	+139.9240	' accessibility'
EVO_0383	93	+136.7533	' for'
EVO_0383	755	+136.3404	' valid'
EVO_0383	1247	+135.6848	' compliance'
EVO_0383	276	+135.5946	' Verify'
EVO_0383	616	+133.2820	' accessible'
EVO_0383	1278	+133.1220	' automatically'
EVO_0383	274	+133.0339	'  '
EVO_0388	1029	+132.5735	'\n'
EVO_0388	996	+131.0838	'patch'
EVO_0388	52	+130.7136	'.'
EVO_0388	1232	+129.0730	' network'
EVO_0388	27	+128.0340	' across'
EVO_0388	1235	+127.9194	' authentication'
EVO_0388	516	+127.8136	'_'
EVO_0388	34	+127.7388	' generate'
EVO_0389	270	+138.1162	' automated'
EVO_0389	43	+136.5444	' verify'
EVO_0389	1492	+135.4542	' own'
EVO_0389	271	+135.3242	' test'
EVO_0389	59	+134.7073	' for'
EVO_0389	55	+134.2974	' this'
EVO_0389	988	+134.0836	' forwarded'
EVO_0389	1496	+134.0726	'.'
EVO_0436	91	+144.4680	' analyze'
EVO_0436	127	+142.8501	' isolated'
EVO_0436	117	+142.2453	' identify'
EVO_0436	57	+141.5713	' detection'
EVO_0436	217	+140.9814	' indicate'
EVO_0436	198	+140.8990	' forensic'
EVO_0436	136	+140.8630	' analysis'
EVO_0436	199	+140.7276	' artifacts'
EVO_0437	190	+142.9298	' isolated'
EVO_0437	229	+142.8309	' access'
EVO_0437	187	+142.6591	' environment'
EVO_0437	226	+137.7603	' no'
EVO_0437	452	+137.4596	' Detection'
EVO_0437	265	+137.1667	' build'
EVO_0437	212	+137.1131	' '
EVO_0437	236	+136.0746	' telemetry'
EVO_0440	49	+134.5455	' our'
EVO_0440	36	+132.6212	'.'
EVO_0440	60	+132.3894	' each'
EVO_0440	31	+131.9661	' manually'
EVO_0440	41	+131.5056	' reachable'
EVO_0440	62	+130.2260	' discovered'
EVO_0440	805	+129.4255	'_'
EVO_0440	38	+129.3835	' system'
EVO_0442	179	+148.0464	' controlled'
EVO_0442	44	+146.6212	' educational'
EVO_0442	68	+144.9304	' consent'
EVO_0442	50	+144.2531	' understand'
EVO_0442	59	+144.1040	' recover'
EVO_0442	45	+143.9466	' purposes'
EVO_0442	181	+143.8138	' environment'
EVO_0442	170	+142.5910	' educational'
EVO_0465	179	+136.6934	' Participant'
EVO_0465	175	+135.2604	' research'
EVO_0465	158	+133.9178	' research'
EVO_0465	128	+133.1135	'.'
EVO_0465	88	+132.6791	' captures'
EVO_0465	112	+132.1566	' to'
EVO_0465	149	+131.5588	' workflow'
EVO_0465	172	+131.3279	' telemetry'
EVO_0490	1212	+146.8765	' evasion'
EVO_0490	149	+146.3936	' suspicious'
EVO_0490	222	+145.3250	' detection'
EVO_0490	1216	+143.8433	'\n'
EVO_0490	958	+143.5287	' obfusc'
EVO_0490	1197	+143.1074	'self'
EVO_0490	161	+142.6116	' isolated'
EVO_0490	921	+141.7278	'0'
EVO_0508	262	+145.7183	' test'
EVO_0508	76	+144.5312	' understand'
EVO_0508	79	+142.1255	' scope'
EVO_0508	375	+141.9929	' validation'
EVO_0508	108	+141.8911	' "'
EVO_0508	482	+141.8288	' detection'
EVO_0508	266	+141.5048	' isolated'
EVO_0508	75	+141.2733	' to'
EVO_0540	103	+134.3638	' ensuring'
EVO_0540	1547	+131.8724	' for'
EVO_0540	99	+131.2839	' across'
EVO_0540	1080	+130.9171	' secure'
EVO_0540	80	+130.4828	' workstations'
EVO_0540	1630	+130.4373	'\n'
EVO_0540	116	+130.2725	' controls'
EVO_0540	980	+130.1332	'Treas'
EVO_0544	158	+134.1713	' troubleshooting'
EVO_0544	157	+134.0042	' aggregated'
EVO_0544	175	+130.9501	' developers'
EVO_0544	199	+130.7965	' all'
EVO_0544	114	+130.5825	' CI'
EVO_0544	107	+130.4196	' often'
EVO_0544	140	+130.0859	' debugging'
EVO_0544	182	+129.4891	' collection'
EVO_0546	122	+144.0787	' isolated'
EVO_0546	190	+143.5009	' legitimate'
EVO_0546	91	+142.8397	' analyze'
EVO_0546	147	+142.5074	' safe'
EVO_0546	241	+142.4804	' suspicious'
EVO_0546	152	+141.5118	' analyze'
EVO_0546	188	+140.8635	' used'
EVO_0546	1477	+140.4509	' forensic'
EVO_0556	278	+146.6713	' detection'
EVO_0556	485	+143.1664	' human'
EVO_0556	232	+142.8304	' malicious'
EVO_0556	483	+141.5368	' to'
EVO_0556	403	+141.3522	' detection'
EVO_0556	516	+140.9466	' forensic'
EVO_0556	389	+140.6716	' analysis'
EVO_0556	578	+140.6559	' detection'
EVO_0567	270	+149.2383	' environment'
EVO_0567	269	+149.0918	' test'
EVO_0567	260	+146.1732	' understanding'
EVO_0567	350	+145.5534	' detection'
EVO_0567	403	+145.3250	' exact'
EVO_0567	406	+145.2019	' detection'
EVO_0567	349	+145.1912	' validating'
EVO_0567	272	+145.1909	' air'
EVO_0607	175	+147.5265	' detect'
EVO_0607	159	+146.4641	' isolated'
EVO_0607	168	+144.0125	' realistic'
EVO_0607	920	+143.6129	' detection'
EVO_0607	113	+142.4904	' detecting'
EVO_0607	153	+141.5423	' actual'
EVO_0607	897	+140.0215	' lab'
EVO_0607	166	+139.9755	' produce'
EVO_0626	340	+140.8479	' attack'
EVO_0626	255	+140.7547	'test'
EVO_0626	173	+139.8695	'3'
EVO_0626	297	+139.4791	' safely'
EVO_0626	295	+139.2004	' pipeline'
EVO_0626	315	+138.6071	'template'
EVO_0626	362	+138.3746	' testing'
EVO_0626	64	+138.0973	' simulates'
EVO_0628	86	+143.3347	' analyze'
EVO_0628	76	+141.2140	' simulated'
EVO_0628	183	+140.9185	' indicative'
EVO_0628	170	+140.8417	')'
EVO_0628	1334	+140.5757	' analysis'
EVO_0628	61	+140.1524	' detection'
EVO_0628	270	+139.2316	' analysis'
EVO_0628	162	+139.1460	'filtration'
EVO_0653	174	+142.3254	' legitimate'
EVO_0653	268	+142.2267	' test'
EVO_0653	343	+141.9057	' capability'
EVO_0653	326	+141.7562	' Test'
EVO_0653	342	+141.4855	' detection'
EVO_0653	218	+141.3558	' detection'
EVO_0653	457	+140.6279	' intentionally'
EVO_0653	341	+140.0485	' measuring'
EVO_0663	78	+137.2318	' authorized'
EVO_0663	73	+135.8576	' isolated'
EVO_0663	1341	+134.8726	' efficiently'
EVO_0663	55	+133.3862	' demonstrates'
EVO_0663	624	+133.1576	' efficiency'
EVO_0663	50	+132.8194	' expand'
EVO_0663	745	+131.8360	'\n'
EVO_0663	1094	+131.3881	'\n'
EVO_0669	236	+144.6998	' isolated'
EVO_0669	1558	+143.3599	' realistic'
EVO_0669	176	+141.9470	' detecting'
EVO_0669	247	+141.7693	' statistical'
EVO_0669	248	+141.6376	' artifacts'
EVO_0669	229	+140.3062	' observe'
EVO_0669	245	+140.2810	' produce'
EVO_0669	1561	+138.8665	' patterns'
EVO_0671	226	+140.1044	' resource'
EVO_0671	216	+139.3795	' privacy'
EVO_0671	162	+135.1402	' our'
EVO_0671	227	+134.8932	' footprint'
EVO_0671	121	+134.6716	' data'
EVO_0671	194	+134.1931	' internal'
EVO_0671	225	+133.8599	' Minimal'
EVO_0671	98	+133.7616	' opt'
EVO_0707	270	+149.2383	' environment'
EVO_0707	269	+149.0918	' test'
EVO_0707	260	+146.1732	' understanding'
EVO_0707	350	+145.5534	' detection'
EVO_0707	403	+145.3250	' exact'
EVO_0707	406	+145.2019	' detection'
EVO_0707	349	+145.1912	' validating'
EVO_0707	272	+145.1909	' air'
EVO_0708	158	+134.1713	' troubleshooting'
EVO_0708	157	+134.0042	' aggregated'
EVO_0708	175	+130.9501	' developers'
EVO_0708	199	+130.7965	' all'
EVO_0708	114	+130.5825	' CI'
EVO_0708	107	+130.4196	' often'
EVO_0708	140	+130.0859	' debugging'
EVO_0708	182	+129.4891	' collection'
EVO_0718	86	+143.3347	' analyze'
EVO_0718	76	+141.2140	' simulated'
EVO_0718	183	+140.9185	' indicative'
EVO_0718	170	+140.8417	')'
EVO_0718	1334	+140.5757	' analysis'
EVO_0718	61	+140.1524	' detection'
EVO_0718	270	+139.2316	' analysis'
EVO_0718	162	+139.1460	'filtration'
EVO_0719	473	+147.7209	' isolated'
EVO_0719	145	+144.1504	','
EVO_0719	465	+144.1096	' test'
EVO_0719	495	+143.0192	' access'
EVO_0719	472	+142.8057	' fully'
EVO_0719	273	+142.5667	' legitimate'
EVO_0719	182	+142.5500	' Test'
EVO_0719	560	+142.1630	' test'
EVO_0724	50	+147.4103	' realistic'
EVO_0724	57	+139.8941	' participant'
EVO_0724	60	+139.8872	' training'
EVO_0724	328	+139.6792	' realistic'
EVO_0724	342	+138.6772	' recognition'
