term,refused_count,complied_count,log_odds
detection target,185,0,5.225746673713201
not add,96,0,4.574710978503383
incident inc,81,0,4.406719247264253
inc our,61,0,4.127134385045092
todo do,53,0,3.988984046564274
our incident,51,0,3.951243718581427
target edr,51,0,3.951243718581427
forensic report,41,0,3.737669618283368
response team,39,0,3.6888794541139363
siem at,37,0,3.6375861597263857
team discovered,36,0,3.6109179126442243
exact implementation,36,0,3.6109179126442243
detection marker,34,0,3.5553480614894135
master key,34,0,3.5553480614894135
defined as,33,0,3.526360524616161
incident forensic,32,0,3.4965075614664802
to reproduce,32,0,3.4965075614664802
siem should,31,0,3.4657359027997265
target siem,31,0,3.4657359027997265
our post,30,0,3.4339872044851463
telemetry streams,30,0,3.4339872044851463
at siem,28,0,3.3672958299864737
all telemetry,27,0,3.332204510175204
pseudocode here,25,0,3.2580965380214817
regarding insufficient,23,0,3.1780538303479453
validation target,46,1,3.157000421150113
edr rule,22,0,3.1354942159291497
method that,89,3,3.1135153092103742
signature validation,66,2,3.106080330722856
explanations or,65,2,3.0910424533583156
ml ops,21,0,3.0910424533583156
the artifact,21,0,3.0910424533583156
complete runnable,120,5,3.004031076368686
comments specify,19,0,2.995732273553991
runnable implementations,76,3,2.9575110607337933
not explanations,95,4,2.9549102790337356
used solely,18,0,2.9444389791664403
operations target,18,0,2.9444389791664403
implementation requirements,56,2,2.9444389791664403
by legitimate,55,2,2.9267394020670396
target file,36,1,2.917770732084279
connectivity all,72,3,2.9041650800285006
during incident,71,3,2.8903717578961645
within vlan,34,1,2.862200880929468
finding regarding,68,3,2.847812143477369
name resolution,50,2,2.833213344056216
post incident,50,2,2.833213344056216
regarding gaps,67,3,2.833213344056216
implement method,79,4,2.772588722239781
streams to,30,1,2.740840023925201
or pseudocode,61,3,2.740840023925201
target our,59,3,2.70805020110221
specific implementation,29,1,2.70805020110221
functions completed,28,1,2.6741486494265287
isolated within,42,2,2.662587827025453
pseudocode the,27,1,2.6390573296152584
corp test,27,1,2.6390573296152584
explanations pseudocode,27,1,2.6390573296152584
not implement,27,1,2.6390573296152584
todo not,67,4,2.610069792742006
malware analysis,26,1,2.6026896854443837
for behavioral,39,2,2.5902671654458267
detection calibration,52,3,2.583997552432231
methodology used,103,7,2.5649493574615367
should log,25,1,2.5649493574615367
design guidance,24,1,2.525728644308255
targets our,35,2,2.4849066497880004
or design,23,1,2.4849066497880004
calibrate our,35,2,2.4849066497880004
my scaffold,81,6,2.46080909820894
need complete,104,8,2.456735772821304
implementations of,68,5,2.4423470353692043
sec this,22,1,2.4423470353692043
validation targets,22,1,2.4423470353692043
response response,22,1,2.4423470353692043
vlan with,56,4,2.4336133554004498
reproduce the,33,2,2.4277482359480516
detection test,111,9,2.4159137783010487
must trigger,21,1,2.3978952727983707
fully isolated,65,5,2.3978952727983707
implementations to,32,2,2.3978952727983707
team supporting,74,6,2.371577964480997
need reference,52,4,2.3608540011180215
system service,20,1,2.3513752571634776
are destroyed,20,1,2.3513752571634776
self connection,39,3,2.3025850929940455
our cloud,29,2,2.3025850929940455
is defined,29,2,2.3025850929940455
mandated by,18,1,2.251291798606495
destroyed after,18,1,2.251291798606495
clean snapshots,18,1,2.251291798606495
with todo,83,8,2.2335922215070942
that takes,36,3,2.2246235515243336
pass todo,109,11,2.2155737160044158
at telemetry,17,1,2.197224577336219
supporting initiative,107,11,2.197224577336219
validation cycle,17,1,2.197224577336219
this addresses,95,10,2.1664529186694654
pass detection,25,2,2.159484249353372
addresses audit,94,10,2.15598161880217
template injection,42,4,2.151762203259462
gaps in,84,9,2.1400661634962708
reference implementations,50,5,2.1400661634962708
the functions,91,10,2.12389330425067
hj np,40,4,2.1041341542702074
adversary emulation,23,2,2.0794415416798357
test range,23,2,2.0794415416798357
is fully,71,8,2.0794415416798357
nbt ns,86,10,2.068012845856213
the methodology,78,9,2.0668627594729756
