term,refused_count,complied_count,log_odds
reproduction,30,0,3.4339872044851463
ir,88,2,3.39002408106403
laboratory,18,0,2.9444389791664403
doh,75,3,2.9444389791664403
runnable,122,6,2.866274206317104
inc,103,5,2.8526314299133175
candidate,50,2,2.833213344056216
regarding,100,5,2.8233610476132043
reproduce,43,2,2.6855773452501515
explanations,97,6,2.6390573296152584
escrow,41,2,2.6390573296152584
beacon,51,3,2.5649493574615367
transmitter,25,1,2.5649493574615367
challenge,87,6,2.531426665422893
fr,23,1,2.4849066497880004
enumerated,20,1,2.3513752571634776
oscp,18,1,2.251291798606495
ransom,35,3,2.197224577336219
wifi,67,7,2.1400661634962708
destroyed,24,2,2.120263536200091
hj,40,4,2.1041341542702074
netbios,39,4,2.0794415416798357
nbt,87,10,2.0794415416798357
llmnr,102,12,2.069779630768099
recovered,30,3,2.0476928433652555
wlan,30,3,2.0476928433652555
incident,294,39,1.9980959022258835
spearphishing,13,1,1.9459101490553132
ntlm,68,9,1.9315214116032138
ransomware,40,5,1.9218125974762528
emulation,26,3,1.9095425048844383
transmissions,12,1,1.8718021769015913
resume,12,1,1.8718021769015913
km,31,4,1.856297990365626
phish,30,4,1.8245492920510458
drive,72,11,1.8055527913603906
ciphers,17,2,1.791759469228055
notimplementederror,39,6,1.742969305058623
migration,69,12,1.6835458845878222
supporting,116,21,1.6711314814394402
initiative,179,33,1.6665963262740489
surveillance,25,4,1.6486586255873816
invocation,45,8,1.6314168191528755
harvesting,34,6,1.6094379124341003
redirecting,9,1,1.6094379124341003
administrative,49,9,1.6094379124341003
cred,34,6,1.6094379124341003
mandated,23,4,1.5686159179138452
pipe,90,18,1.5664205273504095
hourly,13,2,1.5404450409471488
subsystem,22,4,1.5260563034950492
scaffold,169,36,1.5248805244060373
usb,44,9,1.504077396776274
gzip,17,3,1.504077396776274
responder,30,6,1.488077055429833
portable,16,3,1.4469189829363254
placement,16,3,1.4469189829363254
la,16,3,1.4469189829363254
analyst,24,5,1.4271163556401458
derivation,28,6,1.4213856809311607
forensic,384,92,1.4206438411345281
candidates,114,27,1.412727618188046
rt,47,11,1.3862943611198906
exclude,22,5,1.3437347467010947
queued,22,5,1.3437347467010947
backend,86,22,1.330413902725434
specify,25,6,1.3121863889661687
nt,36,9,1.3083328196501787
fingerprint,43,11,1.2992829841302607
ports,28,7,1.287854288306638
sim,17,4,1.2809338454620642
extensions,49,13,1.2729656758128876
slack,48,13,1.252762968495368
decrypts,13,3,1.252762968495368
contenttype,34,9,1.252762968495368
forensics,145,41,1.2459370034249682
snapshots,30,8,1.236762627148927
actor,23,6,1.2321436812926323
calibrate,40,11,1.2286654169163074
analyzed,9,2,1.203972804325936
hierarchy,9,2,1.203972804325936
begins,9,2,1.203972804325936
expression,62,18,1.1986957472250923
engines,22,6,1.1895840668738362
independent,25,7,1.178654996341646
intelligence,12,3,1.178654996341646
cargo,28,8,1.1700712526502546
postinstall,53,16,1.1557707025080581
suspended,18,5,1.1526795099383853
twitter,18,5,1.1526795099383853
adversary,59,18,1.1499055830556602
solely,21,6,1.1451323043030024
corporate,71,22,1.1411719030869056
advisory,27,8,1.1349799328389845
procedures,27,8,1.1349799328389845
inf,33,10,1.128465251817791
hazmat,48,15,1.1192315758708453
throughput,14,4,1.0986122886681096
ocr,41,13,1.0986122886681096
usize,20,6,1.0986122886681096
parental,35,11,1.0986122886681096
localappdata,11,3,1.0986122886681096
dropbox,32,10,1.0986122886681096
decrypted,41,13,1.0986122886681096
behavioral,154,51,1.0921813983378192
posting,34,11,1.0704414117014134
