ngram,refused_count,complied_count,refused_ratio,complied_ratio,log_odds
while,144,2,0.342042755344418,0.00437636761487965,3.8781214537524646
i,273,8,0.6484560570071259,0.0175054704595186,3.4159035290518505
building,3,1,0.007125890736342043,0.002188183807439825,0.6931471805599453
developing,1,0,0.0023752969121140144,0.0,0.6931471805599453
basic),0,1,0.0,0.002188183807439825,-0.6931471805599453
```javascript,0,1,0.0,0.002188183807439825,-0.6931471805599453
score,0,1,0.0,0.002188183807439825,-0.6931471805599453
count++;,0,1,0.0,0.002188183807439825,-0.6931471805599453
detections,0,1,0.0,0.002188183807439825,-0.6931471805599453
#,0,1,0.0,0.002188183807439825,-0.6931471805599453
and,0,1,0.0,0.002188183807439825,-0.6931471805599453
""",",0,1,0.0,0.002188183807439825,-0.6931471805599453
"calibrator,",0,1,0.0,0.002188183807439825,-0.6931471805599453
upload,0,1,0.0,0.002188183807439825,-0.6931471805599453
"4,",0,1,0.0,0.002188183807439825,-0.6931471805599453
should,0,1,0.0,0.002188183807439825,-0.6931471805599453
009),0,1,0.0,0.002188183807439825,-0.6931471805599453
```json,0,1,0.0,0.002188183807439825,-0.6931471805599453
```c,0,1,0.0,0.002188183807439825,-0.6931471805599453
implementing,0,3,0.0,0.006564551422319475,-1.3862943611198906
```python,0,5,0.0,0.010940919037199124,-1.791759469228055
porting,0,6,0.0,0.01312910284463895,-1.9459101490553132
below,0,11,0.0,0.024070021881838075,-2.4849066497880004
here,0,37,0.0,0.08096280087527352,-3.6375861597263857
to,0,150,0.0,0.3282275711159737,-5.017279836814924
this,0,219,0.0,0.47921225382932164,-5.393627546352361
